in1 target
-1.0 -0.8414709848078965
-0.8947368421052632 -0.8740880912076647
-0.7894736842105263 -0.8754235610570932
-0.6842105263157895 -0.8464506654667899
-0.5789473684210527 -0.7885034114975275
-0.4736842105263158 -0.7029008376197929
-0.368421052631579 -0.5907358061282483
-0.26315789473684215 -0.4528239964781343
-0.1578947368421053 -0.28981202921183224
-0.052631578947368474 -0.10244812106881108
0.05263157894736836 0.10798060860909112
0.1578947368421053 0.33904817232483675
0.26315789473684204 0.5864530438192296
0.36842105263157876 0.8432107404011904
0.4736842105263157 1.0989013331810966
0.5789473684210527 1.339173342829071
0.6842105263157894 1.5457846526829868
0.7894736842105261 1.6975181850139014
0.894736842105263 1.7723050035130186
1.0 1.7507684116335782
