in1 target
-0.4 16.71325810037019
-0.35789473684210527 17.27132402829812
-0.31578947368421056 17.58611122019283
-0.2736842105263158 17.749401314399403
-0.23157894736842108 17.82568590083821
-0.18947368421052635 17.856700198843004
-0.1473684210526316 17.867055263167778
-0.10526315789473689 17.869608893459482
-0.06315789473684214 17.86998175243016
-0.02105263157894738 17.869999974969033
0.021052631578947323 17.869999974969033
0.06315789473684208 17.86998175243016
0.10526315789473684 17.869608893459482
0.1473684210526316 17.867055263167778
0.18947368421052624 17.856700198843004
0.231578947368421 17.82568590083821
0.27368421052631575 17.749401314399403
0.3157894736842105 17.58611122019283
0.35789473684210527 17.27132402829812
0.4 16.71325810037019
