in1 in2 in3 in4 target
3.0 3.0 3.0 3.0 3.810240217616415
2.717142837142857 2.7171428457142857 3.2859047628571427 3.172380957142857 -0.7467875291960843
2.717142837142857 3.4 3.4 2.60333335 16.102179361188806
3.0585714185714283 3.4 3.2859047628571427 3.172380957142857 -1.0518883851285876
3.0585714185714283 3.058571422857143 3.2859047628571427 2.60333335 15.75819900214006
3.1723809457142855 2.8309523714285714 2.60133334 2.9447619142857144 4.568766174661845
3.1723809457142855 2.8309523714285714 2.7154285771428572 3.0585714357142857 2.022303658466883
2.8309523642857144 2.944761897142857 3.4 3.2861904785714287 -4.084218404784478
2.60333331 2.8309523714285714 2.7154285771428572 3.4 -5.1140089717193264
2.717142837142857 3.058571422857143 3.1718095257142855 3.0585714357142857 2.1858898968856773
3.2861904728571427 3.4 2.7154285771428572 3.4 -7.753018081741988
3.4 2.944761897142857 2.9436190514285716 2.830952392857143 9.008679388655304
3.1723809457142855 2.7171428457142857 2.7154285771428572 2.830952392857143 7.15462064742047
2.9447618914285716 3.058571422857143 2.7154285771428572 2.9447619142857144 4.78291016836962
2.717142837142857 2.944761897142857 3.1718095257142855 3.2861904785714287 -3.656933372783869
3.1723809457142855 2.944761897142857 3.2859047628571427 3.0585714357142857 2.545543819718178
2.60333331 3.4 3.2859047628571427 2.830952392857143 8.890252338794372
2.8309523642857144 3.058571422857143 2.60133334 3.4 -5.7558300022025675
3.2861904728571427 2.944761897142857 2.8295238142857144 3.4 -6.997083137494169
2.8309523642857144 2.7171428457142857 2.7154285771428572 3.0585714357142857 1.7321021647870205
2.717142837142857 3.4 3.1718095257142855 2.60333335 15.021484083111362
3.1723809457142855 2.8309523714285714 2.60133334 3.0585714357142857 1.9373317253326952
3.1723809457142855 2.60333332 3.4 3.2861904785714287 -4.046143869375449
2.717142837142857 3.1723809485714285 2.60133334 3.2861904785714287 -3.23103084413424
2.60333331 2.944761897142857 2.7154285771428572 3.0585714357142857 1.7262688439582672
3.0585714185714283 2.944761897142857 3.0577142885714284 3.4 -7.037630756702809
2.717142837142857 2.60333332 2.8295238142857144 2.60333335 10.260533820627925
3.0585714185714283 3.1723809485714285 3.4 3.0585714357142857 2.7357283050707535
2.717142837142857 3.286190474285714 3.2859047628571427 3.2861904785714287 -4.227732183418618
3.0585714185714283 3.4 3.0577142885714284 2.830952392857143 9.719521156999491
2.8309523642857144 3.4 3.2859047628571427 3.0585714357142857 2.6227478425362576
