in1 in2 target
3.0 3.0 27.0
3.538596478947369 3.329824547368421 39.23500770294189
1.6596490947368423 1.4508771631578947 3.493635269462176
3.9561403421052637 3.1210526157894742 38.53664213531931
4.164912273684211 3.538596478947369 52.15163641546838
1.4508771631578947 5.0 36.271929078947366
3.1210526157894742 2.9122806842105264 26.47082943813644
3.329824547368421 2.4947368210526317 20.72386834841698
5.0 4.791228068421053 114.77933201812867
3.9561403421052637 1.4508771631578947 8.327851636801963
1.0333333 1.0333333 1.1033702635925962
1.8684210263157897 2.2859648894736844 9.763687199045298
3.9561403421052637 1.0333333 4.224278470536068
3.329824547368421 1.4508771631578947 7.009428991163838
5.0 4.164912273684211 86.7324712374269
3.329824547368421 3.329824547368421 36.92020057746408
1.0333333 1.8684210263157897 3.6073635862650093
2.077192957894737 3.329824547368421 23.03135782459722
3.747368410526316 1.2421052315789474 5.781535190585221
3.747368410526316 4.582456136842105 78.69063042743413
4.791228068421053 4.582456136842105 100.61053942991349
1.4508771631578947 3.9561403421052637 22.707745810617716
3.1210526157894742 1.4508771631578947 6.569954775951132
4.373684205263158 3.9561403421052637 68.45273446365564
2.703508752631579 3.747368410526316 37.96475161757535
4.164912273684211 4.582456136842105 87.45859402842586
2.077192957894737 3.1210526157894742 20.23387310415718
4.164912273684211 1.0333333 4.447200485317744
1.8684210263157897 2.9122806842105264 15.846786451474955
4.582456136842105 1.8684210263157897 15.99734122930214
5.0 1.2421052315789474 7.714127031578952
2.077192957894737 2.4947368210526317 12.927850336045495
3.9561403421052637 4.373684205263158 75.67745773433374
4.582456136842105 3.538596478947369 57.37998080978098
4.791228068421053 5.0 119.78070171052633
2.4947368210526317 2.077192957894737 10.764117261643719
2.2859648894736844 4.582456136842105 48.00275782396302
3.9561403421052637 1.8684210263157897 13.810874586413236
4.791228068421053 1.8684210263157897 16.726163443598445
3.747368410526316 1.8684210263157897 13.082052372116934
2.703508752631579 1.6596490947368423 7.446639449151821
2.2859648894736844 4.373684205263158 43.728481890320325
1.6596490947368423 5.0 41.49122736842106
3.1210526157894742 4.791228068421053 71.6464668867498
2.077192957894737 5.0 51.929823947368426
3.538596478947369 2.703508752631579 25.86345861882955
4.373684205263158 4.791228068421053 100.40171030766906
2.4947368210526317 3.329824547368421 27.660972075552838
1.0333333 3.9561403421052637 16.172747431612297
4.373684205263158 4.373684205263158 83.6647016953371
2.077192957894737 1.4508771631578947 4.372583699887591
1.2421052315789474 4.791228068421053 28.51360175537092
4.582456136842105 3.747368410526316 64.35037758405676
4.582456136842105 5.0 114.56140342105263
5.0 1.8684210263157897 17.454985657894746
1.2421052315789474 3.9561403421052637 19.44024662111501
1.2421052315789474 5.0 31.052630789473685
4.373684205263158 1.2421052315789474 6.747831111082087
1.8684210263157897 1.6596490947368423 5.146444489460082
3.1210526157894742 4.582456136842105 65.53868502594652
4.791228068421053 2.9122806842105264 40.63622008701842
4.582456136842105 3.9561403421052637 71.72023365315835
1.8684210263157897 2.4947368210526317 11.628514000650247
3.329824547368421 2.703508752631579 24.33755301040837
1.4508771631578947 3.747368410526316 20.374334306587745
2.703508752631579 2.4947368210526317 16.825859342231237
4.582456136842105 4.164912273684211 79.48954901708566
2.077192957894737 1.8684210263157897 7.251474657746519
4.373684205263158 3.538596478947369 54.76580861262469
1.8684210263157897 1.8684210263157897 6.522652443450217
2.703508752631579 2.077192957894737 11.664911899976529
3.9561403421052637 4.582456136842105 83.07461222793
1.4508771631578947 4.582456136842105 30.466830621979536
2.9122806842105264 4.164912273684211 50.51786013572069
3.9561403421052637 5.0 98.90350855263159
1.2421052315789474 4.582456136842105 26.082848821483662
1.0333333 4.582456136842105 21.69886702098779
2.4947368210526317 2.9122806842105264 21.158807944805698
2.077192957894737 4.791228068421053 47.68376403598376
2.9122806842105264 3.538596478947369 36.46660323253057
2.9122806842105264 1.2421052315789474 4.493140629922734
2.2859648894736844 3.1210526157894742 22.267514107619636
5.0 1.6596490947368423 13.772175588304101
