in1 target
-1.0 0.0
-0.8947368421052632 -0.1695812647232603
-0.7894736842105263 -0.2697953514782729
-0.6842105263157895 -0.3172167187176279
-0.5789473684210527 -0.3254732545023442
-0.4736842105263158 -0.3052462765018685
-0.368421052631579 -0.2642705319940762
-0.26315789473684215 -0.20733419786527119
-0.1578947368421053 -0.13627888061018564
-0.052631578947368474 -0.04999961633198031
0.05263157894736836 0.05555512925775579
0.1578947368421053 0.18738346083900528
0.26315789473684204 0.3554300534833218
0.36842105263157876 0.5725861526538312
0.4736842105263157 0.8546895742052314
0.5789473684210527 1.2205247043837908
0.6842105263157894 1.6918224998273488
0.7894736842105261 2.293260487565318
0.894736842105263 3.0524627650186837
1.0 4.0
