in1 target
-1.0 0.0
-0.8947368421052632 0.03184499829007348
-0.7894736842105263 0.08845832858353753
-0.6842105263157895 0.1324242604788291
-0.5789473684210527 0.1481447440637789
-0.4736842105263158 0.1349831242399308
-0.368421052631579 0.10138732442910359
-0.26315789473684215 0.05999249966219147
-0.1578947368421053 0.02370315905020464
-0.052631578947368474 0.002754757637549614
0.05263157894736836 0.002754757637549602
0.1578947368421053 0.02370315905020464
0.26315789473684204 0.05999249966219144
0.36842105263157876 0.10138732442910352
0.4736842105263157 0.13498312423993075
0.5789473684210527 0.1481447440637789
0.6842105263157894 0.13242426047882916
0.7894736842105261 0.08845832858353764
0.894736842105263 0.03184499829007348
1.0 0.0
