in1 target
-1.0 0.0
-0.8947368421052632 -0.2299417881025546
-0.7894736842105263 -0.3343599836083418
-0.6842105263157895 -0.3645695996212718
-0.5789473684210527 -0.3528594564952456
-0.4736842105263158 -0.3177976409879539
-0.368421052631579 -0.26855749603243695
-0.26315789473684215 -0.20826414112640385
-0.1578947368421053 -0.13636152333931215
-0.052631578947368474 -0.049999998937207746
0.05263157894736836 0.05555555437467516
0.1578947368421053 0.1874970945915542
0.26315789473684204 0.3570242419309778
0.36842105263157876 0.5818745747369461
0.4736842105263157 0.8898333947662705
0.5789473684210527 1.323222961857171
0.6842105263157894 1.9443711979801157
0.7894736842105261 2.8420598606709033
0.894736842105263 4.138952185845982
1.0 6.0
