in1 target
-1.6 -1.016040916317288
-1.431578947368421 -0.8768252037645811
-1.2631578947368423 -0.6972841139580458
-1.0947368421052632 -0.5731228873925391
-0.9263157894736843 -0.5454617932552095
-0.7578947368421054 -0.6053841414442429
-0.5894736842105264 -0.7169411153875683
-0.42105263157894757 -0.8390451599809584
-0.25263157894736854 -0.9382450903553036
-0.08421052631578951 -0.9929337756944452
0.08421052631578929 -0.9929337756944452
0.2526315789473683 -0.9382450903553037
0.42105263157894735 -0.8390451599809585
0.5894736842105264 -0.7169411153875683
0.757894736842105 -0.6053841414442431
0.926315789473684 -0.5454617932552095
1.094736842105263 -0.5731228873925389
1.263157894736842 -0.6972841139580456
1.431578947368421 -0.8768252037645811
1.6 -1.016040916317288
