in1 target
1.0 0.24197072451914334
1.1052631578947367 0.21659157163219753
1.2105263157894737 0.19173798243014548
1.3157894736842106 0.1678659553745185
1.4210526315789473 0.14534663197630085
1.526315789473684 0.12446154605645886
1.631578947368421 0.10540307550327803
1.736842105263158 0.088279374545606
1.8421052631578947 0.07312284576546144
1.9473684210526314 0.05990109959436571
2.052631578947368 0.048529339167333055
2.1578947368421053 0.03888318512328583
2.263157894736842 0.030811097006930882
2.3684210526315788 0.02414573124668899
2.473684210526316 0.01871377641058343
2.5789473684210527 0.014344003513300679
2.6842105263157894 0.010873446008403892
2.789473684210526 0.008151769565826705
2.894736842105263 0.00604400005346641
3.0 0.004431848411938007
